User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration,Months Since Join,Months Since Last Payment
53,Standard,12,2022-01-01,2023-06-01,United Kingdom,41,Female,Laptop,1 Month,29,12
54,Standard,12,2022-06-01,2023-06-01,Australia,29,Male,Smartphone,1 Month,24,12
55,Basic,10,2023-04-01,2023-06-01,Germany,39,Female,Smart TV,1 Month,14,12
56,Premium,15,2022-03-01,2023-06-01,France,36,Male,Tablet,1 Month,27,12
57,Basic,10,2022-10-01,2023-06-01,Brazil,46,Female,Laptop,1 Month,20,12
58,Standard,12,2021-10-01,2023-06-01,Mexico,34,Male,Smartphone,1 Month,32,12
59,Premium,15,2022-12-01,2023-06-01,Spain,27,Female,Smart TV,1 Month,18,12
60,Basic,10,2023-06-01,2023-06-01,Italy,42,Male,Tablet,1 Month,12,12
61,Premium,15,2023-02-01,2023-06-01,United States,28,Female,Laptop,1 Month,16,12
62,Basic,10,2022-08-01,2023-06-01,Canada,37,Male,Smartphone,1 Month,22,12
63,Standard,12,2022-02-01,2023-06-01,United Kingdom,41,Female,Smart TV,1 Month,28,12
64,Standard,12,2022-06-01,2023-06-01,Australia,29,Male,Tablet,1 Month,24,12
65,Basic,10,2023-03-01,2023-06-01,Germany,40,Female,Laptop,1 Month,15,12
66,Premium,15,2022-01-01,2023-06-01,France,29,Male,Smartphone,1 Month,29,12
67,Basic,10,2022-09-01,2023-06-01,Brazil,47,Female,Smart TV,1 Month,21,12
68,Standard,12,2021-11-01,2023-06-01,Mexico,33,Male,Tablet,1 Month,31,12
69,Premium,15,2022-12-01,2023-06-01,Spain,36,Female,Laptop,1 Month,18,12
70,Basic,10,2023-05-01,2023-06-01,Italy,41,Male,Smartphone,1 Month,13,12
71,Basic,10,2022-01-01,2023-06-01,United States,27,Male,Smartphone,1 Month,29,12
72,Basic,10,2022-10-01,2023-06-01,Canada,31,Female,Smartphone,1 Month,20,12
73,Standard,12,2022-09-01,2023-06-01,United Kingdom,28,Female,Laptop,1 Month,21,12
74,Premium,13,2022-12-01,2023-06-01,Australia,41,Female,Smartphone,1 Month,18,12
75,Basic,13,2022-05-01,2023-06-01,Germany,28,Female,Laptop,1 Month,25,12
76,Basic,13,2021-12-01,2023-06-01,France,51,Female,Laptop,1 Month,30,12
77,Premium,15,2022-12-01,2023-06-01,Brazil,45,Female,Smartphone,1 Month,18,12
78,Standard,15,2022-11-01,2023-06-01,Mexico,49,Male,Tablet,1 Month,19,12
79,Standard,15,2022-12-01,2023-06-01,Spain,43,Female,Laptop,1 Month,18,12
80,Basic,12,2022-11-01,2023-06-01,Italy,43,Male,Tablet,1 Month,19,12
81,Premium,10,2023-01-01,2023-06-01,United States,37,Male,Tablet,1 Month,17,12
82,Standard,12,2022-12-01,2023-06-01,Canada,35,Male,Laptop,1 Month,18,12
83,Basic,10,2022-10-01,2023-06-01,United Kingdom,46,Female,Smartphone,1 Month,20,12
84,Standard,12,2023-04-01,2023-06-01,Australia,32,Male,Smartphone,1 Month,14,12
85,Premium,10,2023-04-01,2023-06-01,Germany,37,Female,Laptop,1 Month,14,12
86,Basic,11,2022-03-01,2023-06-01,France,29,Female,Smartphone,1 Month,27,12
87,Premium,15,2021-12-01,2023-06-01,Brazil,45,Male,Smart TV,1 Month,30,12
88,Standard,12,2022-09-01,2023-06-01,Mexico,47,Male,Tablet,1 Month,21,12
89,Basic,15,2022-10-01,2023-06-01,Spain,39,Male,Smartphone,1 Month,20,12
90,Standard,13,2023-02-01,2023-06-01,Italy,49,Female,Smartphone,1 Month,16,12
91,Premium,11,2022-10-01,2023-06-01,United States,39,Male,Tablet,1 Month,20,12
92,Basic,14,2022-01-01,2023-06-01,Canada,39,Male,Smart TV,1 Month,29,12
93,Standard,12,2022-02-01,2023-06-01,United Kingdom,35,Male,Smartphone,1 Month,28,12
94,Premium,12,2022-03-01,2023-06-01,Australia,44,Male,Smartphone,1 Month,27,12
95,Basic,11,2022-02-01,2023-06-01,Germany,34,Male,Laptop,1 Month,28,12
96,Premium,14,2022-07-01,2023-06-01,France,32,Male,Laptop,1 Month,23,12
97,Basic,10,2022-03-01,2023-06-01,Brazil,29,Female,Tablet,1 Month,27,12
98,Standard,13,2022-03-01,2023-06-01,Mexico,31,Female,Tablet,1 Month,27,12
99,Standard,12,2023-01-01,2023-06-01,Spain,29,Female,Tablet,1 Month,17,12
100,Basic,12,2023-01-01,2023-06-01,Italy,35,Male,Laptop,1 Month,17,12
101,Premium,11,2022-10-01,2023-06-01,United States,46,Female,Tablet,1 Month,20,12
102,Basic,12,2022-03-01,2023-06-01,Canada,31,Male,Tablet,1 Month,27,12
103,Standard,13,2022-04-01,2023-06-01,United Kingdom,36,Male,Laptop,1 Month,26,12
104,Premium,10,2022-06-01,2023-06-01,Australia,38,Male,Laptop,1 Month,24,12
105,Basic,11,2022-03-01,2023-06-01,Germany,46,Female,Laptop,1 Month,27,12
106,Premium,10,2022-03-01,2023-06-01,France,49,Female,Tablet,1 Month,27,12
107,Basic,14,2022-03-01,2023-06-01,Brazil,29,Female,Smart TV,1 Month,27,12
108,Standard,12,2022-05-01,2023-06-01,Mexico,27,Female,Smart TV,1 Month,25,12
109,Standard,13,2023-02-01,2023-06-01,Spain,35,Female,Tablet,1 Month,16,12
110,Basic,13,2023-01-01,2023-06-01,Italy,37,Female,Laptop,1 Month,17,12
111,Premium,14,2022-07-01,2023-06-01,United States,40,Male,Tablet,1 Month,23,12
112,Basic,10,2022-06-01,2023-06-01,Canada,33,Female,Laptop,1 Month,24,12
113,Standard,15,2022-05-01,2023-06-01,United Kingdom,37,Male,Tablet,1 Month,25,12
114,Premium,10,2022-11-01,2023-06-01,Australia,48,Male,Smartphone,1 Month,19,12
115,Basic,11,2022-04-01,2023-06-01,Germany,50,Female,Laptop,1 Month,26,12
116,Premium,14,2022-05-01,2023-06-01,France,45,Female,Smart TV,1 Month,25,12
117,Basic,15,2021-10-01,2023-06-01,Brazil,40,Female,Tablet,1 Month,32,12
118,Standard,12,2022-08-01,2023-06-01,Mexico,33,Male,Smartphone,1 Month,22,12
119,Standard,11,2022-09-01,2023-06-01,Spain,44,Female,Smartphone,1 Month,21,12
120,Basic,10,2022-10-01,2023-06-01,Italy,30,Female,Smart TV,1 Month,20,12
121,Premium,15,2022-10-01,2023-06-01,United States,27,Male,Smart TV,1 Month,20,12
122,Basic,11,2022-05-01,2023-06-01,Canada,51,Male,Smart TV,1 Month,25,12
123,Standard,13,2022-05-01,2023-06-01,United Kingdom,49,Female,Smartphone,1 Month,25,12
124,Premium,15,2022-11-01,2023-06-01,Australia,43,Male,Laptop,1 Month,19,12
125,Basic,12,2022-08-01,2023-06-01,Germany,42,Male,Smartphone,1 Month,22,12
126,Premium,13,2022-09-01,2023-06-01,France,45,Male,Laptop,1 Month,21,12
127,Basic,10,2021-11-01,2023-06-01,Brazil,36,Male,Smartphone,1 Month,31,12
128,Standard,12,2022-10-01,2023-06-01,Mexico,48,Male,Smartphone,1 Month,20,12
129,Standard,13,2022-11-01,2023-06-01,Spain,38,Male,Smart TV,1 Month,19,12
130,Basic,14,2023-01-01,2023-06-01,Italy,43,Female,Tablet,1 Month,17,12
131,Premium,15,2022-10-01,2023-06-01,United States,47,Male,Laptop,1 Month,20,12
132,Basic,15,2022-06-01,2023-06-01,Canada,48,Female,Smart TV,1 Month,24,12
133,Standard,13,2022-06-01,2023-06-01,United Kingdom,47,Male,Smart TV,1 Month,24,12
134,Premium,15,2022-11-01,2023-06-01,Australia,32,Male,Tablet,1 Month,19,12
135,Basic,13,2022-07-01,2023-06-01,Germany,47,Female,Smart TV,1 Month,23,12
136,Premium,12,2022-09-01,2023-06-01,France,41,Female,Smart TV,1 Month,21,12
137,Basic,12,2022-08-01,2023-06-01,Brazil,49,Male,Laptop,1 Month,22,12
138,Standard,15,2022-09-01,2023-06-01,Mexico,28,Male,Laptop,1 Month,21,12
139,Standard,13,2023-03-01,2023-06-01,Spain,40,Male,Smartphone,1 Month,15,12
140,Basic,12,2022-05-01,2023-06-01,Italy,43,Female,Smartphone,1 Month,25,12
141,Premium,12,2022-05-01,2023-06-01,United States,42,Male,Smartphone,1 Month,25,12
142,Basic,14,2022-06-01,2023-06-01,Canada,28,Male,Smart TV,1 Month,24,12
143,Standard,14,2022-08-01,2023-06-01,United Kingdom,30,Female,Tablet,1 Month,22,12
144,Premium,10,2022-08-01,2023-06-01,Australia,33,Male,Smart TV,1 Month,22,12
145,Basic,11,2022-05-01,2023-06-01,Germany,35,Female,Laptop,1 Month,25,12
146,Basic,10,2022-10-01,2023-06-01,France,38,Male,Tablet,1 Month,20,12
147,Basic,12,2022-11-01,2023-06-01,Brazil,49,Female,Laptop,1 Month,19,12
148,Standard,15,2022-11-01,2023-06-01,Mexico,39,Female,Smartphone,1 Month,19,12
149,Premium,13,2022-11-01,2023-06-01,Spain,46,Female,Smart TV,1 Month,19,12
150,Basic,10,2022-12-01,2023-06-01,Italy,47,Female,Laptop,1 Month,18,12
151,Basic,15,2022-12-01,2023-06-01,United States,30,Female,Laptop,1 Month,18,12
152,Premium,14,2022-11-01,2023-06-01,Canada,33,Female,Tablet,1 Month,19,12
153,Standard,11,2022-12-01,2023-06-01,United Kingdom,47,Male,Smartphone,1 Month,18,12
154,Standard,11,2023-03-01,2023-06-01,Australia,27,Male,Laptop,1 Month,15,12
155,Basic,14,2022-11-01,2023-06-01,Germany,28,Male,Tablet,1 Month,19,12
156,Premium,15,2022-08-01,2023-06-01,France,47,Male,Smartphone,1 Month,22,12
157,Standard,14,2022-09-01,2023-06-01,Brazil,30,Male,Laptop,1 Month,21,12
158,Basic,13,2022-10-01,2023-06-01,Mexico,47,Female,Smartphone,1 Month,20,12
159,Standard,10,2022-12-01,2023-06-01,Spain,51,Female,Smart TV,1 Month,18,12
160,Premium,15,2022-10-01,2023-06-01,Italy,39,Male,Smartphone,1 Month,20,12
161,Basic,10,2022-10-01,2023-06-01,United States,45,Male,Tablet,1 Month,20,12
162,Premium,15,2022-04-01,2023-06-01,Canada,31,Male,Laptop,1 Month,26,12
163,Standard,11,2022-04-01,2023-06-01,United Kingdom,29,Male,Laptop,1 Month,26,12
164,Basic,11,2022-03-01,2023-06-01,Australia,42,Female,Tablet,1 Month,27,12
165,Standard,14,2022-05-01,2023-06-01,Germany,49,Male,Tablet,1 Month,25,12
166,Premium,13,2022-04-01,2023-06-01,France,42,Male,Laptop,1 Month,26,12
167,Basic,13,2022-04-01,2023-06-01,Brazil,29,Male,Smartphone,1 Month,26,12
168,Standard,10,2022-12-01,2023-06-01,Mexico,29,Male,Tablet,1 Month,18,12
169,Premium,12,2023-01-01,2023-06-01,Spain,49,Male,Tablet,1 Month,17,12
170,Basic,14,2023-01-01,2023-06-01,Italy,32,Male,Laptop,1 Month,17,12
171,Premium,11,2022-04-01,2023-06-01,United States,35,Female,Tablet,1 Month,26,12
172,Basic,12,2022-04-01,2023-06-01,Canada,39,Female,Smartphone,1 Month,26,12
173,Standard,15,2022-06-01,2023-06-01,United Kingdom,40,Male,Smartphone,1 Month,24,12
174,Standard,14,2022-04-01,2023-06-01,Australia,39,Female,Tablet,1 Month,26,12
175,Basic,10,2022-04-01,2023-06-01,Germany,47,Female,Laptop,1 Month,26,12
176,Premium,13,2022-04-01,2023-06-01,France,37,Female,Smart TV,1 Month,26,12
177,Basic,15,2022-05-01,2023-06-01,Brazil,27,Female,Smartphone,1 Month,25,12
178,Standard,13,2022-10-01,2023-06-01,Mexico,49,Female,Laptop,1 Month,20,12
179,Premium,10,2022-12-01,2023-06-01,Spain,30,Female,Tablet,1 Month,18,12
180,Basic,14,2022-09-01,2023-06-01,Italy,36,Male,Laptop,1 Month,21,12
181,Premium,15,2022-06-01,2023-06-01,United States,33,Male,Smartphone,1 Month,24,12
182,Basic,13,2022-05-01,2023-06-01,Canada,30,Female,Laptop,1 Month,25,12
183,Standard,15,2022-05-01,2023-06-01,United Kingdom,36,Female,Tablet,1 Month,25,12
184,Standard,13,2022-04-01,2023-06-01,Australia,28,Female,Laptop,1 Month,26,12
185,Basic,11,2022-05-01,2023-06-01,Germany,47,Female,Tablet,1 Month,25,12
186,Premium,12,2022-03-01,2023-06-01,France,33,Female,Smart TV,1 Month,27,12
187,Basic,13,2022-07-01,2023-06-01,Brazil,49,Female,Laptop,1 Month,23,12
188,Standard,15,2022-07-01,2023-06-01,Mexico,44,Female,Smart TV,1 Month,23,12
189,Premium,13,2022-09-01,2023-06-01,Spain,47,Male,Smart TV,1 Month,21,12
190,Basic,11,2022-09-01,2023-06-01,Italy,37,Female,Tablet,1 Month,21,12
191,Premium,10,2022-07-01,2023-06-01,United States,46,Male,Laptop,1 Month,23,12
192,Basic,14,2022-06-01,2023-06-01,Canada,50,Female,Smartphone,1 Month,24,12
193,Standard,11,2022-08-01,2023-06-01,United Kingdom,50,Male,Laptop,1 Month,22,12
194,Standard,14,2022-08-01,2023-06-01,Australia,37,Male,Laptop,1 Month,22,12
195,Basic,11,2022-08-01,2023-06-01,Germany,50,Female,Smartphone,1 Month,22,12
196,Premium,13,2022-06-01,2023-06-01,France,45,Female,Smart TV,1 Month,24,12
197,Basic,14,2022-09-01,2023-06-01,Brazil,45,Male,Tablet,1 Month,21,12
198,Standard,10,2022-10-01,2023-06-01,Mexico,49,Female,Laptop,1 Month,20,12
199,Premium,14,2022-10-01,2023-06-01,Spain,39,Female,Tablet,1 Month,20,12
200,Basic,11,2022-10-01,2023-06-01,Italy,45,Female,Tablet,1 Month,20,12
201,Premium,11,2022-07-01,2023-06-01,United States,49,Female,Smart TV,1 Month,23,12
202,Basic,12,2022-06-01,2023-06-01,Canada,31,Female,Tablet,1 Month,24,12
203,Standard,13,2022-07-01,2023-06-01,United Kingdom,42,Female,Smart TV,1 Month,23,12
204,Standard,12,2022-07-01,2023-06-01,Australia,37,Male,Smartphone,1 Month,23,12
205,Basic,12,2022-07-01,2023-06-01,Germany,30,Male,Smart TV,1 Month,23,12
206,Premium,11,2022-08-01,2023-06-01,France,40,Male,Smartphone,1 Month,22,12
207,Basic,15,2022-09-01,2023-06-01,Brazil,45,Female,Smartphone,1 Month,21,12
208,Standard,15,2023-01-01,2023-06-01,Mexico,36,Female,Tablet,1 Month,17,12
209,Premium,11,2022-12-01,2023-06-01,Spain,41,Male,Laptop,1 Month,18,12
210,Basic,14,2022-11-01,2023-06-01,Italy,49,Female,Laptop,1 Month,19,12
211,Premium,15,2022-11-01,2023-06-01,United States,40,Male,Tablet,1 Month,19,12
212,Basic,11,2022-10-01,2023-06-01,Canada,36,Male,Smart TV,1 Month,20,12
213,Standard,12,2022-09-01,2023-06-01,United Kingdom,49,Female,Smart TV,1 Month,21,12
214,Standard,13,2022-06-01,2023-06-01,Australia,43,Female,Laptop,1 Month,24,12
215,Basic,13,2022-09-01,2023-06-01,Germany,50,Female,Smartphone,1 Month,21,12
216,Premium,14,2022-10-01,2023-06-01,France,51,Female,Smart TV,1 Month,20,12
217,Basic,15,2022-11-01,2023-06-01,Brazil,44,Male,Smart TV,1 Month,19,12
218,Standard,12,2022-11-01,2023-06-01,Mexico,27,Male,Tablet,1 Month,19,12
219,Premium,12,2022-11-01,2023-06-01,Spain,46,Female,Smartphone,1 Month,19,12
220,Basic,12,2022-11-01,2023-06-01,Italy,29,Male,Tablet,1 Month,19,12
221,Basic,12,2022-11-01,2023-06-01,United States,47,Male,Smartphone,1 Month,19,12
222,Basic,10,2022-12-01,2023-06-01,Canada,48,Female,Smartphone,1 Month,18,12
223,Standard,12,2023-01-01,2023-06-01,United Kingdom,34,Female,Smartphone,1 Month,17,12
224,Premium,15,2022-11-01,2023-06-01,Australia,40,Female,Smartphone,1 Month,19,12
225,Basic,14,2022-10-01,2023-06-01,Germany,48,Female,Smartphone,1 Month,20,12
226,Basic,10,2022-09-01,2023-06-01,France,35,Male,Smartphone,1 Month,21,12
227,Premium,12,2022-09-01,2023-06-01,Brazil,51,Female,Smartphone,1 Month,21,12
228,Standard,10,2022-11-01,2023-06-01,Mexico,39,Male,Smart TV,1 Month,19,12
229,Standard,13,2022-11-01,2023-06-01,Spain,29,Male,Smartphone,1 Month,19,12
230,Basic,12,2022-10-01,2023-06-01,Italy,51,Male,Laptop,1 Month,20,12
231,Premium,11,2022-10-01,2023-06-01,United States,43,Male,Smartphone,1 Month,20,12
232,Standard,11,2022-08-01,2023-06-01,Canada,28,Male,Smartphone,1 Month,22,12
233,Basic,15,2022-07-01,2023-06-01,United Kingdom,50,Female,Smart TV,1 Month,23,12
234,Standard,14,2022-05-01,2023-06-01,Australia,44,Female,Laptop,1 Month,25,12
235,Premium,11,2022-05-01,2023-06-01,Germany,50,Male,Laptop,1 Month,25,12
236,Basic,11,2022-05-01,2023-06-01,France,39,Female,Smartphone,1 Month,25,12
237,Premium,13,2022-07-01,2023-06-01,Brazil,46,Female,Tablet,1 Month,23,12
238,Standard,15,2022-07-01,2023-06-01,Mexico,48,Male,Smartphone,1 Month,23,12
239,Basic,15,2022-12-01,2023-06-01,Spain,38,Male,Smart TV,1 Month,18,12
240,Standard,13,2022-06-01,2023-06-01,Italy,38,Male,Smartphone,1 Month,24,12
241,Premium,13,2022-05-01,2023-06-01,United States,47,Male,Laptop,1 Month,25,12
242,Basic,12,2022-06-01,2023-06-01,Canada,37,Male,Laptop,1 Month,24,12
243,Standard,11,2022-05-01,2023-06-01,United Kingdom,33,Male,Laptop,1 Month,25,12
244,Premium,15,2022-04-01,2023-06-01,Australia,28,Male,Smartphone,1 Month,26,12
245,Basic,13,2022-04-01,2023-06-01,Germany,47,Male,Smart TV,1 Month,26,12
246,Premium,11,2022-05-01,2023-06-01,France,38,Female,Smartphone,1 Month,25,12
247,Basic,12,2022-07-01,2023-06-01,Brazil,27,Male,Smart TV,1 Month,23,12
248,Standard,13,2022-09-01,2023-06-01,Mexico,34,Male,Smartphone,1 Month,21,12
249,Standard,14,2022-09-01,2023-06-01,Spain,42,Female,Smartphone,1 Month,21,12
250,Basic,14,2022-08-01,2023-06-01,Italy,28,Male,Laptop,1 Month,22,12
251,Premium,15,2022-06-01,2023-06-01,United States,30,Male,Laptop,1 Month,24,12
252,Basic,11,2022-05-01,2023-06-01,Canada,38,Female,Smartphone,1 Month,25,12
253,Standard,15,2022-05-01,2023-06-01,United Kingdom,45,Female,Tablet,1 Month,25,12
254,Premium,12,2022-05-01,2023-06-01,Australia,48,Female,Smart TV,1 Month,25,12
255,Basic,13,2022-05-01,2023-06-01,Germany,46,Female,Smart TV,1 Month,25,12
256,Premium,12,2022-05-01,2023-06-01,France,34,Male,Tablet,1 Month,25,12
257,Basic,13,2022-06-01,2023-06-01,Brazil,46,Male,Laptop,1 Month,24,12
258,Standard,11,2022-07-01,2023-06-01,Mexico,41,Female,Smartphone,1 Month,23,12
259,Standard,15,2022-08-01,2023-06-01,Spain,28,Male,Smartphone,1 Month,22,12
260,Basic,10,2022-07-01,2023-06-01,Italy,27,Female,Smartphone,1 Month,23,12
261,Premium,13,2022-07-01,2023-06-01,United States,27,Female,Smart TV,1 Month,23,12
262,Basic,12,2022-07-01,2023-06-01,Canada,28,Female,Tablet,1 Month,23,12
263,Standard,15,2022-07-01,2023-06-01,United Kingdom,46,Male,Smartphone,1 Month,23,12
264,Premium,10,2022-08-01,2023-06-01,Australia,51,Male,Smartphone,1 Month,22,12
265,Basic,11,2022-08-01,2023-06-01,Germany,32,Female,Smart TV,1 Month,22,12
266,Premium,10,2022-08-01,2023-06-01,France,44,Male,Tablet,1 Month,22,12
267,Basic,11,2022-09-01,2023-06-01,Brazil,44,Female,Laptop,1 Month,21,12
268,Standard,13,2022-10-01,2023-06-01,Mexico,34,Female,Smart TV,1 Month,20,12
269,Standard,13,2022-10-01,2023-06-01,Spain,29,Female,Laptop,1 Month,20,12
270,Basic,12,2022-09-01,2023-06-01,Italy,47,Male,Smart TV,1 Month,21,12
271,Premium,14,2022-08-01,2023-06-01,United States,41,Male,Laptop,1 Month,22,12
272,Basic,10,2022-08-01,2023-06-01,Canada,36,Female,Smartphone,1 Month,22,12
273,Standard,12,2022-08-01,2023-06-01,United Kingdom,28,Female,Laptop,1 Month,22,12
274,Premium,10,2022-08-01,2023-06-01,Australia,27,Female,Tablet,1 Month,22,12
275,Basic,15,2022-08-01,2023-06-01,Germany,34,Female,Laptop,1 Month,22,12
276,Premium,14,2022-08-01,2023-06-01,France,34,Female,Smart TV,1 Month,22,12
277,Basic,13,2022-09-01,2023-06-01,Brazil,37,Female,Tablet,1 Month,21,12
278,Standard,14,2022-09-01,2023-06-01,Mexico,34,Female,Laptop,1 Month,21,12
279,Standard,15,2022-11-01,2023-06-01,Spain,50,Female,Laptop,1 Month,19,12
280,Basic,12,2022-11-01,2023-06-01,Italy,34,Female,Laptop,1 Month,19,12
281,Premium,12,2022-11-01,2023-06-01,United States,33,Female,Smart TV,1 Month,19,12
282,Basic,11,2022-10-01,2023-06-01,Canada,33,Male,Smart TV,1 Month,20,12
283,Standard,15,2022-06-01,2023-06-01,United Kingdom,46,Male,Smartphone,1 Month,24,12
284,Premium,14,2022-08-01,2023-06-01,Australia,39,Female,Smartphone,1 Month,22,12
285,Basic,10,2022-09-01,2023-06-01,Germany,42,Female,Laptop,1 Month,21,12
286,Premium,14,2022-10-01,2023-06-01,France,50,Female,Laptop,1 Month,20,12
287,Basic,10,2022-10-01,2023-06-01,Brazil,43,Male,Smartphone,1 Month,20,12
288,Standard,14,2022-10-01,2023-06-01,Mexico,51,Male,Smart TV,1 Month,20,12
289,Standard,15,2022-11-01,2023-06-01,Spain,34,Female,Smart TV,1 Month,19,12
290,Basic,12,2022-11-01,2023-06-01,Italy,48,Male,Smartphone,1 Month,19,12
291,Premium,13,2022-12-01,2023-06-01,United States,29,Female,Tablet,1 Month,18,12
292,Basic,11,2022-12-01,2023-06-01,Canada,43,Female,Laptop,1 Month,18,12
293,Standard,14,2022-12-01,2023-06-01,United Kingdom,39,Female,Laptop,1 Month,18,12
294,Premium,10,2022-10-01,2023-06-01,Australia,50,Male,Laptop,1 Month,20,12
295,Basic,14,2022-10-01,2023-06-01,Germany,45,Male,Laptop,1 Month,20,12
296,Basic,12,2022-10-01,2023-06-01,France,48,Female,Tablet,1 Month,20,12
297,Basic,13,2022-11-01,2023-06-01,Brazil,40,Male,Smartphone,1 Month,19,12
298,Standard,14,2022-11-01,2023-06-01,Mexico,41,Male,Tablet,1 Month,19,12
299,Premium,10,2022-10-01,2023-06-01,Spain,27,Male,Smartphone,1 Month,20,12
300,Basic,11,2022-10-01,2023-06-01,Italy,36,Male,Laptop,1 Month,20,12
301,Basic,10,2022-09-01,2023-06-01,United States,36,Female,Laptop,1 Month,21,12
302,Premium,11,2022-09-01,2023-06-01,Canada,44,Male,Tablet,1 Month,21,12
303,Standard,12,2022-06-01,2023-06-01,United Kingdom,45,Male,Tablet,1 Month,24,12
